2026-07-24 02:08:34	[Main thread]	INFO	readr	cli_block	 ── Column specification ──────────────────────────────────────────────────────── cols(   checkLevel = col_character(),   checkName = col_character(),   checkDescription = col_character(),   kahnContext = col_character(),   kahnCategory = col_character(),   kahnSubcategory = col_character(),   sqlFile = col_character(),   evaluationFilter = col_character(),   severity = col_character() ) 
2026-07-24 02:08:34	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	CDM Tables skipped: CONCEPT, VOCABULARY, CONCEPT_ANCESTOR, CONCEPT_RELATIONSHIP, CONCEPT_CLASS, CONCEPT_SYNONYM, RELATIONSHIP, DOMAIN
2026-07-24 02:08:34	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleDuringLife check has been reimplemented with the plausibleBeforeDeath check.
2026-07-24 02:08:34	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleTemporalAfter check has been reimplemented with the plausibleAfterBirth and plausibleStartBeforeEnd checks.
2026-07-24 02:08:34	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleGender check has been reimplemented with the plausibleGenderUseDescendants check.
2026-07-24 02:08:34	[Main thread]	INFO	DatabaseConnector	connectPostgreSql	Connecting using PostgreSQL driver
2026-07-24 02:08:34	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmTable
2026-07-24 02:08:36	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measurePersonCompleteness
2026-07-24 02:08:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureConditionEraCompleteness
2026-07-24 02:08:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureObservationPeriodOverlap
2026-07-24 02:08:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmField
2026-07-24 02:09:06	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isRequired
2026-07-24 02:09:13	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmDatatype
2026-07-24 02:10:13	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isPrimaryKey
